BCoV	NC_003045.1
BEVE	NC_001859.1
BHV1	NC_063268.1
BNV	NC_027199.1
BPIV3	NC_002161.1
BrAv	NC_038303.1
BrBv	NC_010354.1
BRSV	NC_038272.1
BVDV1	NC_001461.1
BVDV2	NC_039237.1
BVDV3	NC_012812.1
IDV	NC_026953.1
IDV	NC_026956.1
IDV	NC_026948.1
IDV	NC_026952.1
IDV	NC_026949.1
IDV	NC_026950.1
IDV	NC_026951.1
BPV	NC_030402.1
BRV	NC_034245.1
BHKV	NC_038898.1
